MSA,in_center_city,total_commuters,main_city_commuters,total_commuters_2011,main_city_commuters_2011,commuter_rate_2018,commuter_rate_2011,Change in Commuter Rate from 2011 to 2018,Change in Total Commuters,,,,,,
"South Bend-Mishawaka, IN-MI",TRUE,32815,14454,31188,14044,0.440469298,0.450301398,-1.0%,3%,,,,,,
"Denver-Aurora-Lakewood, CO",TRUE,310494,150210,239287,118174,0.483777464,0.493858839,-1.0%,27%,,,,,,
"Evansville, IN-KY",FALSE,72939,36646,68172,34953,0.50241983,0.512717831,-1.0%,5%,,,,,,
"Buffalo-Cheektowaga-Niagara Falls, NY",TRUE,90185,40927,86604,40194,0.453811609,0.464112512,-1.0%,2%,,,,,,
"Scranton--Wilkes-Barre--Hazleton, PA",FALSE,183506,18043,175586,19107,0.098323761,0.108818471,-1.0%,-6%,,,,,,
"Milwaukee-Waukesha-West Allis, WI",FALSE,445975,117001,430829,117573,0.262348786,0.272899457,-1.1%,0%,,,,,,
"Baltimore-Columbia-Towson, MD",TRUE,232134,106572,217878,102366,0.459096901,0.469831741,-1.1%,4%,,,,,,
"Hartford-West Hartford-East Hartford, CT",FALSE,486565,71046,476863,74749,0.146015435,0.15675152,-1.1%,-5%,,,,,,
"Brownsville-Harlingen, TX",FALSE,65338,10648,57163,9932,0.162967951,0.173748754,-1.1%,7%,,,,,,
"Austin-Round Rock, TX",FALSE,505286,218860,387401,172011,0.433140835,0.444012793,-1.1%,27%,,,,,,
"Erie, PA",FALSE,67377,23738,66499,24156,0.352316072,0.363253583,-1.1%,-2%,,,,,,
"Durham-Chapel Hill, NC",TRUE,92342,42014,74270,34634,0.454982565,0.466325569,-1.1%,21%,,,,,,
"Utica-Rome, NY",FALSE,77237,14853,76799,15640,0.192304207,0.203648485,-1.1%,-5%,,,,,,
"Santa Rosa, CA",TRUE,49218,14838,42986,13451,0.30147507,0.312915833,-1.1%,10%,,,,,,
"San Jose-Sunnyvale-Santa Clara, CA",TRUE,434919,172281,354754,144613,0.396122037,0.407643043,-1.2%,19%,,,,,,
"Ogden-Clearfield, UT",FALSE,230872,24929,187126,22415,0.107977581,0.119785599,-1.2%,11%,,,,,,
"Springfield, MA",FALSE,193443,33624,185915,34535,0.173818644,0.185756932,-1.2%,-3%,,,,,,
"Tampa-St. Petersburg-Clearwater, FL",FALSE,1055772,187363,878041,166645,0.1774654,0.189791821,-1.2%,12%,,,,,,
"Canton-Massillon, OH",FALSE,130189,19453,123931,20047,0.149421226,0.161759366,-1.2%,-3%,,,,,,
"Albany-Schenectady-Troy, NY",TRUE,39108,19068,36246,18125,0.487572875,0.500055179,-1.2%,5%,,,,,,
"Hickory-Lenoir-Morganton, NC",TRUE,13315,4352,12082,4100,0.326849418,0.33934779,-1.2%,6%,,,,,,
"Greenville-Anderson-Mauldin, SC",FALSE,299761,41604,253719,38459,0.13879057,0.15158108,-1.3%,8%,,,,,,
"Vallejo-Fairfield, CA",TRUE,44442,6524,37847,6043,0.146798074,0.159669194,-1.3%,8%,,,,,,
"Ogden-Clearfield, UT",TRUE,35201,10491,28732,8934,0.298031306,0.310942503,-1.3%,17%,,,,,,
"Rochester, MN",FALSE,49432,27258,45024,25418,0.551424179,0.564543355,-1.3%,7%,,,,,,
"Akron, OH",FALSE,219445,32905,206017,33602,0.149946456,0.163103045,-1.3%,-2%,,,,,,
"San Diego-Carlsbad, CA",FALSE,755452,253052,656602,228728,0.334967675,0.348351056,-1.3%,11%,,,,,,
"Asheville, NC",FALSE,136407,31764,113023,27845,0.23286195,0.246365784,-1.4%,14%,,,,,,
"Huntsville, AL",FALSE,85078,49552,76176,45422,0.58243024,0.596277043,-1.4%,9%,,,,,,
"Syracuse, NY",TRUE,45592,20874,43773,20655,0.457843481,0.471866219,-1.4%,1%,,,,,,
"Winston-Salem, NC",FALSE,174022,48719,165150,48562,0.279958856,0.294047835,-1.4%,0%,,,,,,
"Detroit-Warren-Dearborn, MI",FALSE,1572959,140900,1393804,144562,0.089576397,0.103717596,-1.4%,-3%,,,,,,
"San Diego-Carlsbad, CA",TRUE,567524,351520,500671,317231,0.619392308,0.633611693,-1.4%,11%,,,,,,
"Portland-South Portland, ME",TRUE,29845,16237,26770,14959,0.544044229,0.558797161,-1.5%,9%,,,,,,
"York-Hanover, PA",FALSE,175710,16695,169383,18608,0.095014513,0.109857542,-1.5%,-10%,,,,,,
"Montgomery, AL",FALSE,59137,27538,54529,26204,0.465664474,0.480551633,-1.5%,5%,,,,,,
"Portland-Vancouver-Hillsboro, OR-WA",FALSE,758247,204444,634988,180795,0.26962718,0.284721916,-1.5%,13%,,,,,,
"Allentown-Bethlehem-Easton, PA-NJ",FALSE,314717,22725,296641,25922,0.072207729,0.087385088,-1.5%,-12%,,,,,,
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",TRUE,9337,3878,7538,3247,0.415336832,0.430750862,-1.5%,19%,,,,,,
"Kalamazoo-Portage, MI",TRUE,22056,8372,19284,7622,0.379579253,0.395249948,-1.6%,10%,,,,,,
"Rochester, NY",TRUE,78029,34286,69183,31490,0.439400736,0.455169623,-1.6%,9%,,,,,,
"Charleston-North Charleston, SC",TRUE,60653,29636,50935,25732,0.488615567,0.505192893,-1.7%,15%,,,,,,
"Greeley, CO",TRUE,36200,12196,28085,9938,0.336906077,0.353854371,-1.7%,23%,,,,,,
"Cincinnati, OH-KY-IN",TRUE,122928,51386,105788,46029,0.418017051,0.435106061,-1.7%,12%,,,,,,
"Salem, OR",FALSE,97959,32351,81607,28406,0.330250411,0.348082885,-1.8%,14%,,,,,,
"Bakersfield, CA",FALSE,152248,34764,136147,33541,0.228337975,0.246358715,-1.8%,4%,,,,,,
"Eugene, OR",FALSE,79695,32870,69379,29882,0.412447456,0.430706698,-1.8%,10%,,,,,,
"Knoxville, TN",FALSE,254602,65469,234421,64566,0.25714252,0.275427543,-1.8%,1%,,,,,,
"Salisbury, MD-DE",TRUE,10946,3013,9493,2789,0.275260369,0.293795428,-1.9%,8%,,,,,,
"Birmingham-Hoover, AL",FALSE,340749,94629,316132,93670,0.277708812,0.29630028,-1.9%,1%,,,,,,
"Lancaster, PA",FALSE,205586,22056,189834,23971,0.10728357,0.126273481,-1.9%,-8%,,,,,,
"Boise City, ID",FALSE,193560,77222,145082,60650,0.398956396,0.418039454,-1.9%,27%,,,,,,
"Columbus, OH",TRUE,335894,184945,285745,162834,0.55060525,0.56985774,-1.9%,14%,,,,,,
"Modesto, CA",FALSE,117635,21208,96309,19224,0.180286479,0.199607513,-1.9%,10%,,,,,,
"Fort Smith, AR-OK",FALSE,53492,20933,51272,21057,0.391329545,0.410691996,-1.9%,-1%,,,,,,
"Austin-Round Rock, TX",TRUE,404581,267377,327643,223029,0.660873842,0.680707355,-2.0%,20%,,,,,,
"Jacksonville, FL",TRUE,381570,286384,326869,251833,0.750541185,0.770440146,-2.0%,14%,,,,,,
"Colorado Springs, CO",TRUE,164504,107795,141859,95837,0.65527282,0.675579272,-2.0%,12%,,,,,,
"Sioux Falls, SD",TRUE,77283,69632,67886,62550,0.90100022,0.921397637,-2.0%,11%,,,,,,
"Indianapolis-Carmel-Anderson, IN",FALSE,477953,212696,417813,194465,0.445014468,0.465435494,-2.0%,9%,,,,,,
"Duluth, MN-WI",TRUE,32352,22727,30361,21951,0.702491345,0.722999901,-2.1%,4%,,,,,,
"Charleston-North Charleston, SC",FALSE,239725,54480,192662,47815,0.227260403,0.248180752,-2.1%,14%,,,,,,
