MSA,MSA_ID,largest_city,in_center_city,total_commuters_2018,main_city_commuters_2018,suburban_commuters_2018,outside_msa_commuters_2018,total_commuters_2011,main_city_commuters_2011,suburban_commuters_2011,outside_msa_commuters_2011,city_commuter_rate_2018,city_commuter_rate_2011,suburban_commuter_rate_2018,suburban_commuter_rate_2011,outside_msa_commuter_rate_2018,outside_msa_commuter_rate_2011
"San Antonio-New Braunfels, TX",41700,San Antonio,TRUE,562393,395229,79715,87449,482792,359008,57795,65989,0.7027630144756425,0.7436080133887886,0.14174251813233807,0.11970993719862798,0.15549446739201947,0.13668204941258347
"San Diego-Carlsbad, CA",41740,San Diego,FALSE,755452,253052,349602,152798,656602,228728,294865,133009,0.3349676749813357,0.34835105589078313,0.4627719563916701,0.44907721877179785,0.20226036862699417,0.20257172533741902
"San Diego-Carlsbad, CA",41740,San Diego,TRUE,567524,351520,119235,96769,500671,317231,100249,83191,0.61939230763809106,0.6336116931078493,0.21009684171946913,0.20022929228974715,0.1705108506424398,0.16615901460240357
"San Francisco-Oakland-Hayward, CA",41860,San Francisco,FALSE,1650487,276059,980644,393784,1367892,209241,846958,311693,0.16725911806636465,0.15296602363344475,0.5941543314185449,0.6191702268892574,0.2385865505150904,0.22786374947729793
"San Francisco-Oakland-Hayward, CA",41860,San Francisco,TRUE,431307,264973,99203,67131,352800,216881,83671,52248,0.6143489440236305,0.6147420634920635,0.23000554129657066,0.2371626984126984,0.15564551467979884,0.14809523809523809
"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,FALSE,448547,103134,203108,142305,360210,93897,159712,106601,0.22992908212517305,0.26067294078454234,0.45281319460390995,0.4433858027261875,0.317257723270917,0.29594125648927017
"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,TRUE,434919,172281,138530,124108,354754,144613,108614,101527,0.39612203651714456,0.40764304278457747,0.31851908056442696,0.30616709043449825,0.2853588829184285,0.28618986678092423
"Santa Maria-Santa Barbara, CA",42200,Santa Maria,FALSE,121666,9490,81631,30545,106366,7894,75196,23276,0.0780004273996022,0.07421544478498768,0.6709434024296024,0.7069552300547167,0.25105617017079546,0.21882932516029557
"Santa Maria-Santa Barbara, CA",42200,Santa Maria,TRUE,27719,12367,8059,7293,26407,9630,6926,9851,0.4461560662361557,0.36467603287007233,0.2907392041559941,0.262278941189836,0.2631047296078502,0.37304502594009165
"Santa Rosa, CA",42220,Santa Rosa,FALSE,140047,21717,67890,50440,121611,19906,57128,44577,0.1550693695687876,0.16368585078652426,0.4847658286146794,0.46976013682972756,0.36016480181653304,0.3665540123837482
"Santa Rosa, CA",42220,Santa Rosa,TRUE,49218,14838,20560,13820,42986,13451,16303,13232,0.30147507009630625,0.31291583306192716,0.41773334958754926,0.37926301586563066,0.2807915803161445,0.3078211510724422
"Savannah, GA",42340,Savannah,FALSE,78533,32421,37151,8961,64829,31583,28533,4713,0.4128328218710606,0.4871739499298154,0.47306227955127145,0.4401271036110383,0.11410489857766799,0.07269894645914637
"Savannah, GA",42340,Savannah,TRUE,50512,31103,12791,6618,45727,30902,10612,4213,0.6157546721571112,0.675793294989831,0.2532269559708584,0.23207295470947142,0.13101837187203041,0.09213375030069762
"Scranton--Wilkes-Barre--Hazleton, PA",42540,Scranton,FALSE,183506,18043,133206,32257,175586,19107,125321,31158,0.09832376053099082,0.1088184707209003,0.725894521160071,0.7137300240338068,0.17578171830893813,0.1774515052452929
"Scranton--Wilkes-Barre--Hazleton, PA",42540,Scranton,TRUE,25981,9550,11594,4837,26644,10414,10414,5816,0.3675763057619029,0.3908572286443477,0.4462491820946076,0.3908572286443477,0.18617451214348948,0.2182855427113046
"Seattle-Tacoma-Bellevue, WA",42660,Seattle,FALSE,1314477,282882,1003440,28155,1088115,226379,837608,24128,0.2152049826661098,0.20804694356754572,0.7633758521449976,0.7697789296168144,0.021419165188892617,0.02217412681563989
"Seattle-Tacoma-Bellevue, WA",42660,Seattle,TRUE,345717,229793,109597,6327,269704,172103,92978,4623,0.664685277264352,0.6381180850117165,0.3170136267525172,0.34474090113606026,0.018301095983130712,0.017141013852223178
"Shreveport-Bossier City, LA",43340,Shreveport,FALSE,90486,40574,42191,7721,89712,39471,44780,5461,0.4484008575912296,0.43997458533975387,0.46627102535198817,0.49915284465846266,0.08532811705678227,0.060872570001783484
"Shreveport-Bossier City, LA",43340,Shreveport,TRUE,54414,35927,13915,4572,59487,37503,16427,5557,0.660252876098063,0.630440264259418,0.2557246296908884,0.2761443676769714,0.08402249421104863,0.09341536806361053
"Sioux Falls, SD",43620,Sioux Falls,FALSE,39851,28111,11391,349,33724,23696,9868,160,0.7054026247772954,0.7026450005930495,0.28583975308022386,0.2926106037243506,0.00875762214248074,0.004744395682599929
"Sioux Falls, SD",43620,Sioux Falls,TRUE,77283,69632,6953,698,67886,62550,4964,372,0.9010002199707569,0.9213976372153316,0.0899680395429784,0.07312258786789617,0.009031740486264768,0.005479774916772236
"South Bend-Mishawaka, IN-MI",43780,South Bend,FALSE,65469,19207,32941,13321,62918,20936,30284,11698,0.2933754906902504,0.3327505642264535,0.503154164566436,0.4813248990749865,0.20347034474331363,0.18592453669856002
"South Bend-Mishawaka, IN-MI",43780,South Bend,TRUE,32815,14454,12996,5365,31188,14044,11506,5638,0.44046929757732745,0.4503013979735796,0.3960383970745086,0.3689239451070925,0.16349230534816395,0.18077465691932795
"Spokane-Spokane Valley, WA",44060,Spokane,FALSE,125803,47135,66751,11917,109527,44376,57598,7553,0.37467310000556425,0.40516037141526745,0.5305994292663927,0.5258794635112803,0.09472747072804305,0.0689601650734522
